,Product Name,Prices,Description
0,The Girl Who Knew Too Much  - What if the Loved One You...,₹159,"English, Paperback, Khanna Vikrant"
1,400 Days,₹139,"English, Paperback, Bhagat Chetan"
2,Stumbled Upon Destiny,₹93,"English, Paperback, Rajan Jolsna"
3,Invisible Pain  - The cry of nature!!!,₹110,"English, Paperback, Praveena"
4,A Touch of Eternity,₹162,"English, Paperback, Durjoy Datta,"
5,Something I Never Told You,₹188,"English, Paperback, Bhinder Shravya"
6,The Blue Umbrella,₹90,"English, Paperback, Bond Ruskin"
7,The Girl with No Dreams,₹99,"English, Paperback, Gupta Deepak"
8,50 Greatest Short Stories,₹212,"English, Paperback, O'Brien Terry"
9,I Too Had a Love Story,₹160,"English, Paperback, Singh Ravinder"
10,Something I'm Waiting to Tell You: The sequel to the Na...,₹130,"English, Paperback, Bhinder Shravya"
11,Frankenstein,₹169,"English, Paperback, Shelley Mary"
12,The 3 Mistakes of My Life,₹186,"English, Paperback, Bhagat Chetan"
13,Ghosts of the Silent Hills,₹140,"English, Paperback, Krishan Anita"
14,You Were My Crush,₹160,"English, Paperback, Datta Durjoy"
15,"Pride and Prejudice  - Pride and Prejudice (Paperback, ...",₹150,"English, Paperback, Jane Austen"
16,If It’s Not Forever,₹109,"English, Paperback, Datta Durjoy"
17,Bipin,₹476,"English, Hardcover, Rawat Rachna Bisht"
18,Tomorrow and Tomorrow and Tomorrow,₹213,"Paperback, Vikas Sharma"
19,The Romance of Lust- A classic Victorian erotic novel,₹516,"English, Paperback, Anonymous"
20,Can't Quarantine Our Love,₹160,"English, Paperback, Nagarkar Sudeep"
21,The Hidden Hindu,₹200,"English, Paperback, Gupta Akshat"
22,The Girl In Room 105,₹139,"English, Paperback, Bhagat Chetan"
23,In Loving Memory,₹186,"English, Paperback, Singh Daniel Paul"
24,One Arranged Murder,₹149,"English, Paperback, Bhagat Chetan"
25,The Girl in Room 105,₹112,"English, Paperback, Bhagat Chetan"
26,"Wake Up, Life is Calling",₹113,"English, Undefined, Shenoy Preeti"
27,"Pride and Prejudice (World Classics, Unabridged)",₹350,"English, Paperback, Austen Jane"
28,Pride & Prejudice,₹119,"English, Paperback, Austen Jane"
29,The Alchemist,₹340,"English, Hardcover, Coelho Paulo"
30,"""The Night Train at Deoli and Other Stories",₹232,"English, Paperback, Bond Ruskin"
31,Falling for a Korean,₹236,"English, Paperback, Madhumitha D J"
32,My Notes from 2nd ARC Reports,₹146,"English, Paperback, Singh Pavneet"
33,The Tattooist of Auschwitz,₹194,"English, Paperback, Morris Heather"
34,Willy and the Killer Kipper,₹159,"English, Paperback, Jeffrey Archer"
35,Beyond Good and Evil,₹169,"English, Paperback, Nietzsche Friedrich"
36,The Commissioner For Lost Causes,₹459,"English, Hardcover, Shourie Arun"
37,All the Murmuring Bones,₹330,"English, Paperback, Slatter A.G."
38,"""The Fifth Form at Saint Dominic's""",₹403,"English, Paperback, Morris William"
39,The Law of Attraction and Practical Mental Influence,₹210,"English, Paperback, Atkinson William Walker"
40,The Girl Who Knew Too Much  - What if the Loved One You...,₹159,"English, Paperback, Khanna Vikrant"
41,400 Days,₹139,"English, Paperback, Bhagat Chetan"
42,Stumbled Upon Destiny,₹93,"English, Paperback, Rajan Jolsna"
43,Invisible Pain  - The cry of nature!!!,₹110,"English, Paperback, Praveena"
44,A Touch of Eternity,₹162,"English, Paperback, Durjoy Datta,"
45,Something I Never Told You,₹188,"English, Paperback, Bhinder Shravya"
46,The Blue Umbrella,₹90,"English, Paperback, Bond Ruskin"
47,The Girl with No Dreams,₹99,"English, Paperback, Gupta Deepak"
48,50 Greatest Short Stories,₹212,"English, Paperback, O'Brien Terry"
49,I Too Had a Love Story,₹160,"English, Paperback, Singh Ravinder"
50,Something I'm Waiting to Tell You: The sequel to the Na...,₹130,"English, Paperback, Bhinder Shravya"
51,Frankenstein,₹169,"English, Paperback, Shelley Mary"
52,The 3 Mistakes of My Life,₹186,"English, Paperback, Bhagat Chetan"
53,Ghosts of the Silent Hills,₹140,"English, Paperback, Krishan Anita"
54,You Were My Crush,₹160,"English, Paperback, Datta Durjoy"
55,"Pride and Prejudice  - Pride and Prejudice (Paperback, ...",₹150,"English, Paperback, Jane Austen"
56,If It’s Not Forever,₹109,"English, Paperback, Datta Durjoy"
57,Bipin,₹476,"English, Hardcover, Rawat Rachna Bisht"
58,Tomorrow and Tomorrow and Tomorrow,₹213,"Paperback, Vikas Sharma"
59,The Romance of Lust- A classic Victorian erotic novel,₹516,"English, Paperback, Anonymous"
60,Can't Quarantine Our Love,₹160,"English, Paperback, Nagarkar Sudeep"
61,The Hidden Hindu,₹200,"English, Paperback, Gupta Akshat"
62,The Girl In Room 105,₹139,"English, Paperback, Bhagat Chetan"
63,In Loving Memory,₹186,"English, Paperback, Singh Daniel Paul"
64,One Arranged Murder,₹149,"English, Paperback, Bhagat Chetan"
65,The Girl in Room 105,₹112,"English, Paperback, Bhagat Chetan"
66,"Wake Up, Life is Calling",₹113,"English, Undefined, Shenoy Preeti"
67,"Pride and Prejudice (World Classics, Unabridged)",₹350,"English, Paperback, Austen Jane"
68,Pride & Prejudice,₹119,"English, Paperback, Austen Jane"
69,The Alchemist,₹340,"English, Hardcover, Coelho Paulo"
70,"""The Night Train at Deoli and Other Stories",₹232,"English, Paperback, Bond Ruskin"
71,Falling for a Korean,₹236,"English, Paperback, Madhumitha D J"
72,My Notes from 2nd ARC Reports,₹146,"English, Paperback, Singh Pavneet"
73,The Tattooist of Auschwitz,₹194,"English, Paperback, Morris Heather"
74,Willy and the Killer Kipper,₹159,"English, Paperback, Jeffrey Archer"
75,Beyond Good and Evil,₹169,"English, Paperback, Nietzsche Friedrich"
76,The Commissioner For Lost Causes,₹459,"English, Hardcover, Shourie Arun"
77,All the Murmuring Bones,₹330,"English, Paperback, Slatter A.G."
78,"""The Fifth Form at Saint Dominic's""",₹403,"English, Paperback, Morris William"
79,The Law of Attraction and Practical Mental Influence,₹210,"English, Paperback, Atkinson William Walker"
80,The Girl Who Knew Too Much  - What if the Loved One You...,₹159,"English, Paperback, Khanna Vikrant"
81,400 Days,₹139,"English, Paperback, Bhagat Chetan"
82,Stumbled Upon Destiny,₹93,"English, Paperback, Rajan Jolsna"
83,Invisible Pain  - The cry of nature!!!,₹110,"English, Paperback, Praveena"
84,A Touch of Eternity,₹162,"English, Paperback, Durjoy Datta,"
85,Something I Never Told You,₹188,"English, Paperback, Bhinder Shravya"
86,The Blue Umbrella,₹90,"English, Paperback, Bond Ruskin"
87,The Girl with No Dreams,₹99,"English, Paperback, Gupta Deepak"
88,50 Greatest Short Stories,₹212,"English, Paperback, O'Brien Terry"
89,I Too Had a Love Story,₹160,"English, Paperback, Singh Ravinder"
90,Something I'm Waiting to Tell You: The sequel to the Na...,₹130,"English, Paperback, Bhinder Shravya"
91,Frankenstein,₹169,"English, Paperback, Shelley Mary"
92,The 3 Mistakes of My Life,₹186,"English, Paperback, Bhagat Chetan"
93,Ghosts of the Silent Hills,₹140,"English, Paperback, Krishan Anita"
94,You Were My Crush,₹160,"English, Paperback, Datta Durjoy"
95,"Pride and Prejudice  - Pride and Prejudice (Paperback, ...",₹150,"English, Paperback, Jane Austen"
96,If It’s Not Forever,₹109,"English, Paperback, Datta Durjoy"
97,Bipin,₹476,"English, Hardcover, Rawat Rachna Bisht"
98,Tomorrow and Tomorrow and Tomorrow,₹213,"Paperback, Vikas Sharma"
99,The Romance of Lust- A classic Victorian erotic novel,₹516,"English, Paperback, Anonymous"
100,Can't Quarantine Our Love,₹160,"English, Paperback, Nagarkar Sudeep"
101,The Hidden Hindu,₹200,"English, Paperback, Gupta Akshat"
